,title,year,imdb_score
627,Brother Bear,2003,6.8
628,Over the Hedge,2006,6.7
629,Open Season,2006,6.1
630,Bolt,2008,6.8
631,Shark Tale,2004,6.0
632,Chicken Run,2000,7.1
633,Hoodwinked!,2005,6.5
634,Robots,2005,6.4
635,Flushed Away,2006,6.6
636,Alvin and the Chipmunks,2007,5.2
637,The Clone Wars,2008–2020,8.4
638,The Bad Batch,2021– ,7.8
639,Episode III - Revenge of the Sith,2005,7.6
640,Episode I - The Phantom Menace,1999,6.5
641,Episode II - Attack of the Clones,2002,6.6
642,A Star Wars Story,2018,6.9
643,Episode VI - Return of the Jedi,1983,8.3
644,Rogue One,2016,7.8
645,Episode VII - The Force Awakens,2015,7.8
646,Star Wars,1977,8.6
647,The Book of Boba Fett,2021– ,7.3
648,The Mandalorian,2019– ,8.7
649,The Empire Strikes Back,1980,8.7
650,The Jungle Book,2016,7.4
651,The Lion King,2019,6.8
652,The Jungle Book,1967,7.6
653,Beauty and the Beast,2017,7.1
654,Maleficent,2014,6.9
655,Aladdin,2019,6.9
656,Tarzan,1999,7.3
657,Mistress of Evil,2019,6.6
658,Finding Dory,2016,7.3
659,Alice in Wonderland,2010,6.4
660,Brave,2012,7.1
661,The Jungle Book,1994,6.0
662,Night at the Museum,2006,6.4
663,Angry Birds,2016,6.2
664,The Angry Birds Movie 2,2019,6.4
665,The Boss Baby,2017,6.3
666,Turbo,2013,6.4
667,The Secret Life of Pets,2016,6.5
668,Hotel Transylvania 2,2015,6.6
669,Hotel Transylvania,2012,7.0
670,Rio,2011,6.9
671,The Croods,2013,7.2
672,Cloudy with a Chance of Meatballs 2,2013,6.3
673,Rio 2,2014,6.3
674,Europe's Most Wanted,2012,6.8
675,Summer Vacation,2018,6.3
676,The Iron Giant,1999,8.1
677,Aladdin,1992,8.0
678,The Incredibles,2004,8.0
679,Ratatouille,2007,8.1
680,How to Train Your Dragon,2010,8.1
681,"Monsters, Inc.",2001,8.1
682,Finding Nemo,2003,8.2
683,Klaus,2019,8.1
684,Up,2009,8.3
685,Chicken Run,2000,7.1
686,WALL·E,2008,8.4
687,The Nightmare Before Christmas,1993,7.9
688,Toy Story,1995,8.3
689,The Little Rascals,1994,6.3
690,The Sandlot,1993,7.8
691,"Honey, I Shrunk the Kids",1989,6.4
692,Matilda,1996,6.9
693,Casper,1995,6.1
694,Holes,2003,7.0
695,The Santa Clause,1994,6.5
696,Cool Runnings,1993,7.0
697,The Mighty Ducks,1992,6.5
698,The Little Rascals Save the Day,2014,5.1
700,The Indian in the Cupboard,1995,6.0
702,Flubber,1997,5.3
703,George of the Jungle,1997,5.5
704,101 Dalmatians,1996,5.7
705,"Honey, I Shrunk the Kids",1989,6.4
706,Stuart Little,1999,6.0
707,Doctor Dolittle,1998,5.4
708,Ri¢hie Ri¢h,1994,5.4
709,Casper,1995,6.1
711,Jumanji,1995,7.0
712,Cheaper by the Dozen,2003,5.9
714,Hook,1991,6.8
715,The Emperor's New Groove,2000,7.4
716,Lilo & Stitch,2002,7.3
717,Tarzan,1999,7.3
718,Hercules,1997,7.3
719,Mulan,1998,7.6
720,The Hunchback of Notre Dame,1996,7.0
721,The Lost Empire,2001,6.9
722,A Bug's Life,1998,7.2
723,Pocahontas,1995,6.7
724,Kronk's New Groove,2005,5.8
725,The Jungle Book,1967,7.6
726,Brother Bear,2003,6.8
727,The Princess and the Frog,2009,7.1
728,Monsters Unleashed,2004,5.1
729,Scooby-Doo,2002,5.2
730,Scooby-Doo! The Mystery Begins,2009,5.2
731,"Scooby Doo, Where Are You!",1969–1970,7.9
732,Scooby-Doo on Zombie Island,1998,7.7
